n,n1,n2,n1_frac,K,r,R0_1,R0_2,drop,TV_piece_vs_avg,KL_piece_vs_avg,MAP_piece,MAP_avg,MAP_changed
50,10,40,0.2,2000,0.5,3.0,1.5,0.5,0.0013398404389050253,7.189267779282196e-06,44,44,False
50,10,40,0.2,2000,0.5,3.0,1.2000000000000002,0.6,0.0023563074908168197,2.1719334822213446e-05,42,42,False
50,10,40,0.2,2000,0.5,3.0,0.9000000000000001,0.7,0.0040001974741654504,6.276851878703605e-05,40,40,False
50,10,40,0.2,2000,0.5,3.0,0.5999999999999999,0.8,0.00684982358772146,0.00018571052604190427,35,35,False
50,25,25,0.5,2000,0.05,3.0,2.7,0.1,6.808422956250393e-07,2.80209089494111e-06,50,50,False
50,25,25,0.5,2000,0.05,3.0,2.4000000000000004,0.2,8.770167146676666e-07,3.5858521433974486e-06,50,50,False
50,25,25,0.5,2000,0.05,3.0,2.0999999999999996,0.3,1.5670658477240362e-06,1.9015811856883519e-06,50,50,False
50,25,25,0.5,2000,0.05,3.0,1.7999999999999998,0.4,3.386489544664813e-06,8.468022184665115e-07,50,50,False
50,25,25,0.5,2000,0.05,3.0,1.5,0.5,7.716262028570342e-06,3.1502969612851465e-06,50,50,False
50,25,25,0.5,2000,0.05,3.0,1.2000000000000002,0.6,1.6480102300139854e-05,1.1780039369928364e-06,50,50,False
50,25,25,0.5,2000,0.05,3.0,0.9000000000000001,0.7,3.6821464838136114e-05,1.6642798413159928e-06,50,50,False
50,25,25,0.5,2000,0.05,3.0,0.5999999999999999,0.8,9.853510998571635e-05,2.016622859129666e-06,50,50,False
50,25,25,0.5,2000,0.1,3.0,2.7,0.1,1.2158505037357381e-06,3.156013155984535e-07,50,50,False
50,25,25,0.5,2000,0.1,3.0,2.4000000000000004,0.2,5.940903795628033e-06,6.917128258295425e-07,50,50,False
50,25,25,0.5,2000,0.1,3.0,2.0999999999999996,0.3,1.6627348675232745e-05,2.9803017479773894e-06,50,50,False
50,25,25,0.5,2000,0.1,3.0,1.7999999999999998,0.4,3.852129096003354e-05,4.6623174151750804e-06,50,50,False
50,25,25,0.5,2000,0.1,3.0,1.5,0.5,8.143704764900688e-05,2.6302455907169323e-06,50,50,False
50,25,25,0.5,2000,0.1,3.0,1.2000000000000002,0.6,0.00016813255474928783,9.189704389127887e-07,50,50,False
50,25,25,0.5,2000,0.1,3.0,0.9000000000000001,0.7,0.0003537971223671124,1.1978026025343013e-06,50,50,False
50,25,25,0.5,2000,0.1,3.0,0.5999999999999999,0.8,0.0007934788627768433,3.3443321031224145e-06,50,50,False
50,25,25,0.5,2000,0.2,3.0,2.7,0.1,8.746582341548695e-06,1.7455737596453595e-08,50,50,False
50,25,25,0.5,2000,0.2,3.0,2.4000000000000004,0.2,4.212825963544804e-05,7.583836477793456e-07,50,50,False
50,25,25,0.5,2000,0.2,3.0,2.0999999999999996,0.3,0.00011617591744757672,6.472382678348199e-08,50,50,False
50,25,25,0.5,2000,0.2,3.0,1.7999999999999998,0.4,0.0002576299466554117,2.716662080279374e-07,50,50,False
50,25,25,0.5,2000,0.2,3.0,1.5,0.5,0.0005101112909941613,1.189860992051599e-06,50,50,False
50,25,25,0.5,2000,0.2,3.0,1.2000000000000002,0.6,0.0009525459349713505,3.2867806283764156e-06,49,49,False
50,25,25,0.5,2000,0.2,3.0,0.9000000000000001,0.7,0.0018175790454567822,1.0706464009830208e-05,49,49,False
50,25,25,0.5,2000,0.2,3.0,0.5999999999999999,0.8,0.003312634928821891,4.0182702996059087e-05,49,49,False
50,25,25,0.5,2000,0.5,3.0,2.7,0.1,4.971106767018979e-05,5.645936095462749e-08,46,46,False
50,25,25,0.5,2000,0.5,3.0,2.4000000000000004,0.2,0.00022655031618524363,1.194507579939887e-06,46,46,False
50,25,25,0.5,2000,0.5,3.0,2.0999999999999996,0.3,0.0006158923178861964,1.7951281987669697e-06,46,46,False
50,25,25,0.5,2000,0.5,3.0,1.7999999999999998,0.4,0.0013328023161911923,8.089796886618348e-06,45,45,False
50,25,25,0.5,2000,0.5,3.0,1.5,0.5,0.002533490955716273,2.619702400840661e-05,45,45,False
50,25,25,0.5,2000,0.5,3.0,1.2000000000000002,0.6,0.004716978471994263,8.671527729491857e-05,44,44,False
50,25,25,0.5,2000,0.5,3.0,0.9000000000000001,0.7,0.008414326965408659,0.0002760724322123661,42,42,False
50,25,25,0.5,2000,0.5,3.0,0.5999999999999999,0.8,0.015367801589265206,0.0008996454713129952,39,39,False
50,40,10,0.8,2000,0.05,3.0,2.7,0.1,4.3058169656856604e-07,1.546781945962795e-06,50,50,False
50,40,10,0.8,2000,0.05,3.0,2.4000000000000004,0.2,8.12779187772672e-07,3.5934960638496026e-06,50,50,False
50,40,10,0.8,2000,0.05,3.0,2.0999999999999996,0.3,9.973954763868587e-07,1.2998840776787705e-06,50,50,False
50,40,10,0.8,2000,0.05,3.0,1.7999999999999998,0.4,2.5552650299021096e-06,3.753968253364748e-06,50,50,False
50,40,10,0.8,2000,0.05,3.0,1.5,0.5,5.1749209972543064e-06,4.017672869563816e-06,50,50,False
50,40,10,0.8,2000,0.05,3.0,1.2000000000000002,0.6,1.1157901333110065e-05,5.211785342274714e-06,50,50,False
50,40,10,0.8,2000,0.05,3.0,0.9000000000000001,0.7,2.506012194422591e-05,1.2096711967327603e-06,50,50,False
50,40,10,0.8,2000,0.05,3.0,0.5999999999999999,0.8,6.780294656915514e-05,2.2832798626475133e-06,50,50,False
50,40,10,0.8,2000,0.1,3.0,2.7,0.1,8.874173332389101e-07,4.1111256844340854e-07,50,50,False
50,40,10,0.8,2000,0.1,3.0,2.4000000000000004,0.2,3.967879979239336e-06,2.220271867978339e-06,50,50,False
50,40,10,0.8,2000,0.1,3.0,2.0999999999999996,0.3,1.1217769837947728e-05,1.7768708628998711e-06,50,50,False
50,40,10,0.8,2000,0.1,3.0,1.7999999999999998,0.4,2.610745885932731e-05,6.104428838945682e-06,50,50,False
50,40,10,0.8,2000,0.1,3.0,1.5,0.5,5.62361178847795e-05,2.417133451274073e-06,50,50,False
50,40,10,0.8,2000,0.1,3.0,1.2000000000000002,0.6,0.00012006289092765868,5.259202984479348e-07,50,50,False
50,40,10,0.8,2000,0.1,3.0,0.9000000000000001,0.7,0.0002681203879959697,6.473493460211282e-06,50,50,False
50,40,10,0.8,2000,0.1,3.0,0.5999999999999999,0.8,0.0006754375272747005,8.84456346531763e-06,50,50,False
50,40,10,0.8,2000,0.2,3.0,2.7,0.1,5.703412436297919e-06,5.771003318011403e-07,50,50,False
50,40,10,0.8,2000,0.2,3.0,2.4000000000000004,0.2,2.810884088237566e-05,8.934357301115716e-07,50,50,False
50,40,10,0.8,2000,0.2,3.0,2.0999999999999996,0.3,8.009727310135523e-05,6.882072776692895e-07,50,50,False
50,40,10,0.8,2000,0.2,3.0,1.7999999999999998,0.4,0.00018584172113883784,9.596493073553078e-07,50,50,False
50,40,10,0.8,2000,0.2,3.0,1.5,0.5,0.00039379574904796976,1.4210425569576718e-06,50,50,False
50,40,10,0.8,2000,0.2,3.0,1.2000000000000002,0.6,0.000807894449607534,2.4371219372846956e-06,50,50,False
50,40,10,0.8,2000,0.2,3.0,0.9000000000000001,0.7,0.0016683823983494172,1.0281122188217232e-05,50,50,False
50,40,10,0.8,2000,0.2,3.0,0.5999999999999999,0.8,0.0037886549938189458,4.6729387362257416e-05,50,50,False
50,40,10,0.8,2000,0.5,3.0,2.7,0.1,3.312166590943924e-05,2.641567965006849e-07,47,47,False
50,40,10,0.8,2000,0.5,3.0,2.4000000000000004,0.2,0.0001603147631516963,5.002802340734667e-07,46,46,False
50,40,10,0.8,2000,0.5,3.0,2.0999999999999996,0.3,0.0004444214559375624,1.3391315050891484e-06,46,46,False
50,40,10,0.8,2000,0.5,3.0,1.7999999999999998,0.4,0.0009853807030492726,6.4983284330989184e-06,46,46,False
50,40,10,0.8,2000,0.5,3.0,1.5,0.5,0.002100652512407112,1.8847082719305883e-05,46,46,False
50,40,10,0.8,2000,0.5,3.0,1.2000000000000002,0.6,0.0042112916491299085,7.246985504673705e-05,45,46,True
50,40,10,0.8,2000,0.5,3.0,0.9000000000000001,0.7,0.008253055353409831,0.0002765396308709771,45,45,False
50,40,10,0.8,2000,0.5,3.0,0.5999999999999999,0.8,0.017501811235002322,0.0011438770965462581,44,44,False
50,45,5,0.9,2000,0.05,3.0,2.7,0.1,2.44069450240636e-07,8.282097663541947e-07,50,50,False
50,45,5,0.9,2000,0.05,3.0,2.4000000000000004,0.2,5.40352445579928e-07,1.9359601197570226e-06,50,50,False
50,45,5,0.9,2000,0.05,3.0,2.0999999999999996,0.3,9.306491299231057e-07,4.29672337817091e-06,50,50,False
50,45,5,0.9,2000,0.05,3.0,1.7999999999999998,0.4,1.7126546808035603e-06,3.53269135948509e-06,50,50,False
50,45,5,0.9,2000,0.05,3.0,1.5,0.5,2.970659778722684e-06,1.530495996323102e-06,50,50,False
50,45,5,0.9,2000,0.05,3.0,1.2000000000000002,0.6,6.554975274374042e-06,3.933622296412772e-06,50,50,False
50,45,5,0.9,2000,0.05,3.0,0.9000000000000001,0.7,1.4710659896388645e-05,5.039648226628457e-06,50,50,False
50,45,5,0.9,2000,0.05,3.0,0.5999999999999999,0.8,3.922360866731589e-05,3.023897107115182e-06,50,50,False
50,45,5,0.9,2000,0.1,3.0,2.7,0.1,5.471855752149646e-07,4.211153942413321e-07,50,50,False
50,45,5,0.9,2000,0.1,3.0,2.4000000000000004,0.2,2.3811281962384315e-06,1.6605130803159251e-06,50,50,False
50,45,5,0.9,2000,0.1,3.0,2.0999999999999996,0.3,6.455902954139239e-06,2.3514737523678905e-06,50,50,False
50,45,5,0.9,2000,0.1,3.0,1.7999999999999998,0.4,1.5132634834344981e-05,2.4924680607335814e-06,50,50,False
50,45,5,0.9,2000,0.1,3.0,1.5,0.5,3.273627064136761e-05,6.5821228263612295e-06,50,50,False
50,45,5,0.9,2000,0.1,3.0,1.2000000000000002,0.6,7.0365907300321e-05,6.78766072927779e-06,50,50,False
50,45,5,0.9,2000,0.1,3.0,0.9000000000000001,0.7,0.00015957615400601088,7.063646901599532e-06,50,50,False
50,45,5,0.9,2000,0.1,3.0,0.5999999999999999,0.8,0.00041712108188548744,2.733427684877194e-06,50,50,False
50,45,5,0.9,2000,0.2,3.0,2.7,0.1,3.2271767350135205e-06,1.3574951526809225e-08,50,50,False
50,45,5,0.9,2000,0.2,3.0,2.4000000000000004,0.2,1.6089431612378163e-05,3.4045152141404513e-07,50,50,False
50,45,5,0.9,2000,0.2,3.0,2.0999999999999996,0.3,4.619107723083187e-05,3.54838158095138e-08,50,50,False
50,45,5,0.9,2000,0.2,3.0,1.7999999999999998,0.4,0.00010856614101611983,2.823692838767474e-07,50,50,False
50,45,5,0.9,2000,0.2,3.0,1.5,0.5,0.000234910196745328,4.3344849470173196e-07,50,50,False
50,45,5,0.9,2000,0.2,3.0,1.2000000000000002,0.6,0.0004974793314734922,1.0145006925158504e-06,50,50,False
50,45,5,0.9,2000,0.2,3.0,0.9000000000000001,0.7,0.001086752940099113,4.7590017044383615e-06,50,50,False
50,45,5,0.9,2000,0.2,3.0,0.5999999999999999,0.8,0.002597156218633289,2.6157163789486057e-05,50,50,False
50,45,5,0.9,2000,0.5,3.0,2.7,0.1,1.891748040400848e-05,2.568307217825557e-08,47,47,False
50,45,5,0.9,2000,0.5,3.0,2.4000000000000004,0.2,9.285895930909172e-05,3.8081987798676524e-07,47,47,False
50,45,5,0.9,2000,0.5,3.0,2.0999999999999996,0.3,0.0002639612096879962,3.006820508165214e-06,46,46,False
50,45,5,0.9,2000,0.5,3.0,1.7999999999999998,0.4,0.0006101565266346878,1.875448485190681e-06,46,46,False
50,45,5,0.9,2000,0.5,3.0,1.5,0.5,0.0012778543289817586,7.311878166480585e-06,46,46,False
50,45,5,0.9,2000,0.5,3.0,1.2000000000000002,0.6,0.0026709774220299047,3.156779558064431e-05,46,46,False
50,45,5,0.9,2000,0.5,3.0,0.9000000000000001,0.7,0.005801926396616377,0.00013936210166062444,46,46,False
50,45,5,0.9,2000,0.5,3.0,0.5999999999999999,0.8,0.013198159173562568,0.0006841011949717905,45,45,False
50,48,2,0.96,2000,0.05,3.0,2.7,0.1,1.0364026167483664e-07,1.1898316172752527e-07,50,50,False
50,48,2,0.96,2000,0.05,3.0,2.4000000000000004,0.2,3.0062990115375943e-07,4.2378518817524786e-07,50,50,False
50,48,2,0.96,2000,0.05,3.0,2.0999999999999996,0.3,4.662909482561206e-07,1.401608781466083e-06,50,50,False
50,48,2,0.96,2000,0.05,3.0,1.7999999999999998,0.4,9.199329362163944e-07,1.8674016150880048e-06,50,50,False
50,48,2,0.96,2000,0.05,3.0,1.5,0.5,1.6555297059489549e-06,3.895323281807822e-06,50,50,False
50,48,2,0.96,2000,0.05,3.0,1.2000000000000002,0.6,3.1669534166084423e-06,4.224193078874824e-06,50,50,False
50,48,2,0.96,2000,0.05,3.0,0.9000000000000001,0.7,6.259414485156045e-06,1.4094823660367201e-06,50,50,False
50,48,2,0.96,2000,0.05,3.0,0.5999999999999999,0.8,1.7789454733435628e-05,4.267531176396225e-06,50,50,False
50,48,2,0.96,2000,0.1,3.0,2.7,0.1,2.3143993219815195e-07,9.412353693636135e-08,50,50,False
50,48,2,0.96,2000,0.1,3.0,2.4000000000000004,0.2,1.078786794164819e-06,4.977680345309942e-07,50,50,False
50,48,2,0.96,2000,0.1,3.0,2.0999999999999996,0.3,2.850442900187433e-06,5.630658237123481e-07,50,50,False
50,48,2,0.96,2000,0.1,3.0,1.7999999999999998,0.4,6.630704005508928e-06,2.775821547598703e-06,50,50,False
50,48,2,0.96,2000,0.1,3.0,1.5,0.5,1.4417989687230681e-05,2.384230441950508e-06,50,50,False
50,48,2,0.96,2000,0.1,3.0,1.2000000000000002,0.6,3.0905468747807405e-05,6.974792208284224e-06,50,50,False
50,48,2,0.96,2000,0.1,3.0,0.9000000000000001,0.7,7.068071032789378e-05,7.09514111369639e-06,50,50,False
50,48,2,0.96,2000,0.1,3.0,0.5999999999999999,0.8,0.00018836235300613915,1.1441704125784183e-06,50,50,False
50,48,2,0.96,2000,0.2,3.0,2.7,0.1,1.394425323887269e-06,8.0282534798229e-07,50,50,False
50,48,2,0.96,2000,0.2,3.0,2.4000000000000004,0.2,6.881405407637179e-06,1.1734063601939551e-08,50,50,False
50,48,2,0.96,2000,0.2,3.0,2.0999999999999996,0.3,1.9925488221401793e-05,1.9423979191184686e-08,50,50,False
50,48,2,0.96,2000,0.2,3.0,1.7999999999999998,0.4,4.747536841547624e-05,2.5969345479238026e-08,50,50,False
50,48,2,0.96,2000,0.2,3.0,1.5,0.5,0.0001036373892741361,6.107221317601602e-08,50,50,False
50,48,2,0.96,2000,0.2,3.0,1.2000000000000002,0.6,0.00022370663941543683,1.0985003575301165e-06,50,50,False
50,48,2,0.96,2000,0.2,3.0,0.9000000000000001,0.7,0.0005041103700259043,1.227687887012021e-06,50,50,False
50,48,2,0.96,2000,0.2,3.0,0.5999999999999999,0.8,0.0012845440672981665,8.481175806371267e-06,50,50,False
50,48,2,0.96,2000,0.5,3.0,2.7,0.1,8.135242086572403e-06,8.164095573014262e-09,47,47,False
50,48,2,0.96,2000,0.5,3.0,2.4000000000000004,0.2,4.0344410368736705e-05,6.965281314153008e-08,47,47,False
50,48,2,0.96,2000,0.5,3.0,2.0999999999999996,0.3,0.00011613864124166567,4.597390847064034e-07,47,47,False
50,48,2,0.96,2000,0.5,3.0,1.7999999999999998,0.4,0.00027362574187728833,3.305944190318307e-06,46,46,False
50,48,2,0.96,2000,0.5,3.0,1.5,0.5,0.0005925709566216297,4.474705301609689e-06,46,46,False
50,48,2,0.96,2000,0.5,3.0,1.2000000000000002,0.6,0.0012522033067426733,7.485999992430062e-06,46,46,False
50,48,2,0.96,2000,0.5,3.0,0.9000000000000001,0.7,0.0027434610857038537,3.9237428109359124e-05,46,46,False
50,48,2,0.96,2000,0.5,3.0,0.5999999999999999,0.8,0.00707275265490633,0.00022651335069822623,46,46,False
100,5,95,0.05,2000,0.05,3.0,2.7,0.1,7.499388325615808e-07,6.9279838472941e-07,100,100,False
100,5,95,0.05,2000,0.05,3.0,2.4000000000000004,0.2,1.1243284952014432e-06,5.328824543434273e-06,100,100,False
