Distribution,Max Radius,Seed,Test Log-Likelihood,Tail KL Divergence
Negative Binomial (heavy-tailed),0.4,3,-3.8094160556793213,0.022170721178643486
Negative Binomial (heavy-tailed),0.4,4,-3.8229329586029053,0.06387874071138053
Negative Binomial (heavy-tailed),0.6,0,-3.799454689025879,0.03806686515348897
Negative Binomial (heavy-tailed),0.6,1,-3.7887988090515137,0.015510300724009341
Negative Binomial (heavy-tailed),0.6,2,-3.8065028190612793,0.04918101772895574
Negative Binomial (heavy-tailed),0.6,3,-3.7932305335998535,0.004313580970805248
Negative Binomial (heavy-tailed),0.6,4,-3.8033716678619385,0.04352167661543336
Negative Binomial (heavy-tailed),0.8,0,-3.7885189056396484,0.021522599735015517
Negative Binomial (heavy-tailed),0.8,1,-3.784320831298828,0.01592965598163783
Negative Binomial (heavy-tailed),0.8,2,-3.8059511184692383,0.04180287935490897
Negative Binomial (heavy-tailed),0.8,3,-3.7781615257263184,0.005410895690037074
Negative Binomial (heavy-tailed),0.8,4,-3.801945686340332,0.03757449979326028
Negative Binomial (heavy-tailed),1.0,0,-3.7823829650878906,0.012037201758228214
Negative Binomial (heavy-tailed),1.0,1,-3.7782251834869385,0.007618803364698036
Negative Binomial (heavy-tailed),1.0,2,-3.7964930534362793,0.025275513601498444
Negative Binomial (heavy-tailed),1.0,3,-3.769202947616577,0.006960426161415634
Negative Binomial (heavy-tailed),1.0,4,-3.816293716430664,0.04424232726680206
Negative Binomial (heavy-tailed),1.2,0,-3.7816028594970703,0.010762179929478739
Negative Binomial (heavy-tailed),1.2,1,-3.776975154876709,0.005768453098131029
Negative Binomial (heavy-tailed),1.2,2,-3.7928006649017334,0.022928110847008114
Negative Binomial (heavy-tailed),1.2,3,-3.7732670307159424,0.011804809914737969
Negative Binomial (heavy-tailed),1.2,4,-3.7911813259124756,0.01781728484669083
Negative Binomial (heavy-tailed),1.4,0,-3.7795629501342773,0.008856522682730177
Negative Binomial (heavy-tailed),1.4,1,-3.7776451110839844,0.003671944645480233
Negative Binomial (heavy-tailed),1.4,2,-3.792259693145752,0.022270930375235923
Negative Binomial (heavy-tailed),1.4,3,-3.775510311126709,0.007813889881363997
Negative Binomial (heavy-tailed),1.4,4,-3.7891974449157715,0.016690310649955457
Negative Binomial (heavy-tailed),1.6,0,-3.7792348861694336,0.008328739751190256
Negative Binomial (heavy-tailed),1.6,1,-3.7797532081604004,0.0036705069126032573
Negative Binomial (heavy-tailed),1.6,2,-3.7862586975097656,0.01523260975514594
Negative Binomial (heavy-tailed),1.6,3,-3.775620698928833,0.005183989096031421
Negative Binomial (heavy-tailed),1.6,4,-3.785919427871704,0.013060538905923073
